filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
000178.png,2403293,"{}",128,0,"{""name"":""circle"",""cx"":164,""cy"":119,""r"":15}","{}"
000178.png,2403293,"{}",128,1,"{""name"":""circle"",""cx"":144,""cy"":134,""r"":17}","{}"
000178.png,2403293,"{}",128,2,"{""name"":""circle"",""cx"":125,""cy"":120,""r"":14}","{}"
000178.png,2403293,"{}",128,3,"{""name"":""circle"",""cx"":86,""cy"":174,""r"":15}","{}"
000178.png,2403293,"{}",128,4,"{""name"":""circle"",""cx"":109,""cy"":187,""r"":19}","{}"
000178.png,2403293,"{}",128,5,"{""name"":""circle"",""cx"":174,""cy"":190,""r"":13}","{}"
000178.png,2403293,"{}",128,6,"{""name"":""circle"",""cx"":256,""cy"":126,""r"":12.067}","{}"
000178.png,2403293,"{}",128,7,"{""name"":""circle"",""cx"":345,""cy"":103,""r"":23}","{}"
000178.png,2403293,"{}",128,8,"{""name"":""circle"",""cx"":324,""cy"":92,""r"":19}","{}"
000178.png,2403293,"{}",128,9,"{""name"":""circle"",""cx"":394,""cy"":131,""r"":13}","{}"
000178.png,2403293,"{}",128,10,"{""name"":""circle"",""cx"":327,""cy"":187,""r"":18}","{}"
000178.png,2403293,"{}",128,11,"{""name"":""circle"",""cx"":308,""cy"":216,""r"":14.345}","{}"
000178.png,2403293,"{}",128,12,"{""name"":""circle"",""cx"":291,""cy"":220,""r"":17}","{}"
000178.png,2403293,"{}",128,13,"{""name"":""circle"",""cx"":109,""cy"":264,""r"":16}","{}"
000178.png,2403293,"{}",128,14,"{""name"":""circle"",""cx"":74,""cy"":273,""r"":14}","{}"
000178.png,2403293,"{}",128,15,"{""name"":""circle"",""cx"":176,""cy"":329,""r"":14}","{}"
000178.png,2403293,"{}",128,16,"{""name"":""circle"",""cx"":225,""cy"":381,""r"":16}","{}"
000178.png,2403293,"{}",128,17,"{""name"":""circle"",""cx"":42,""cy"":420,""r"":20}","{}"
000178.png,2403293,"{}",128,18,"{""name"":""circle"",""cx"":63,""cy"":429,""r"":17}","{}"
000178.png,2403293,"{}",128,19,"{""name"":""circle"",""cx"":89,""cy"":409,""r"":18}","{}"
000178.png,2403293,"{}",128,20,"{""name"":""circle"",""cx"":131,""cy"":472,""r"":18}","{}"
000178.png,2403293,"{}",128,21,"{""name"":""circle"",""cx"":31,""cy"":536,""r"":15}","{}"
000178.png,2403293,"{}",128,22,"{""name"":""circle"",""cx"":167,""cy"":511,""r"":16}","{}"
000178.png,2403293,"{}",128,23,"{""name"":""circle"",""cx"":141,""cy"":517,""r"":18}","{}"
000178.png,2403293,"{}",128,24,"{""name"":""circle"",""cx"":160,""cy"":538,""r"":15}","{}"
000178.png,2403293,"{}",128,25,"{""name"":""circle"",""cx"":35,""cy"":605,""r"":14}","{}"
000178.png,2403293,"{}",128,26,"{""name"":""circle"",""cx"":98,""cy"":645,""r"":14}","{}"
000178.png,2403293,"{}",128,27,"{""name"":""circle"",""cx"":85,""cy"":667,""r"":12}","{}"
000178.png,2403293,"{}",128,28,"{""name"":""circle"",""cx"":154,""cy"":850,""r"":15}","{}"
